2026-06-24 02:52:20.186 [info] Client: Pylance client (2026.2.1) started with python extension (2026.4.0)
2026-06-24 02:52:20.221 [info] (44612): Server root directory: file:///home/beast/.vscode/extensions/ms-python.vscode-pylance-2026.2.1/dist
2026-06-24 02:52:28.011 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/PublicKey/_curve25519.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.011 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/PublicKey/_curve448.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.011 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/PublicKey/_ec_ws.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.012 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/PublicKey/_ed25519.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.012 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/PublicKey/_ed448.abi3.so. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.012 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/Random. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.012 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/SelfTest. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.012 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/SelfTest/Cipher. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.012 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/SelfTest/Hash. This indicates the upstream filter in changedWatchedFiles was bypassed.
2026-06-24 02:52:28.012 [warning] (44612): BG(web-app): [ExternalProgram] _onFileParsed called with non-Python file: file:///thm/web-app/jwt_tool/.venv/lib/python3.13/site-packages/Cryptodome/SelfTest/IO. This indicates the upstream filter in changedWatchedFiles was bypassed.
